2024-06-24 14:11:47.293 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-ntxxf, Namespace: default, Node: minikube-m03, Timestamp: 1719238307.2937734
2024-06-24 14:11:47.309 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-dhr84, Namespace: default, Node: minikube-m03, Timestamp: 1719238307.3090873
2024-06-24 14:11:47.311 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-skldk, Namespace: default, Node: minikube-m03, Timestamp: 1719238307.3114672
2024-06-24 14:11:47.321 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-skldk, Namespace: default, Node: minikube-m03, Timestamp: 1719238307.3215015
2024-06-24 14:11:48.167 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-xv5vb, Namespace: default, Node: minikube-m03, Timestamp: 1719238308.167487
2024-06-24 14:11:48.188 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-xv5vb, Namespace: default, Node: minikube-m03, Timestamp: 1719238308.1889565
2024-06-24 14:11:49.175 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-dhr84, Namespace: default, Node: minikube-m03, Timestamp: 1719238309.17504
2024-06-24 14:11:49.191 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-skldk, Namespace: default, Node: minikube-m03, Timestamp: 1719238309.191661
2024-06-24 14:11:49.208 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-ntxxf, Namespace: default, Node: minikube-m03, Timestamp: 1719238309.2085323
2024-06-24 14:11:49.224 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5847f6d649-dhr84, Namespace: default, Node: minikube-m03, Timestamp: 1719238309.224414
