2024-06-16 21:07:37.481 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572057.4815633
2024-06-16 21:07:37.484 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572057.4842532
2024-06-16 21:07:37.486 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572057.486818
2024-06-16 21:07:41.966 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572061.9669755
2024-06-16 21:07:41.994 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572061.9948359
2024-06-16 21:07:42.055 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.0559754
2024-06-16 21:07:42.128 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.128537
2024-06-16 21:07:42.143 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.1439447
2024-06-16 21:07:42.160 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.1600027
2024-06-16 21:07:42.169 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.1695023
2024-06-16 21:07:42.355 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572062.3558013
2024-06-16 21:07:43.068 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.0687468
2024-06-16 21:07:43.137 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.1372142
2024-06-16 21:07:43.145 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.145565
2024-06-16 21:07:43.168 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.1684897
2024-06-16 21:07:43.188 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.1880865
2024-06-16 21:07:43.436 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572063.4366393
2024-06-16 21:07:47.986 Event: Pod Created, Pod: hello-5-instances-00001-deployment-659755d7cd-cslzg, Namespace: default, Node: None, Timestamp: 1718572067.9867344
2024-06-16 21:07:48.002 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-cslzg, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.0020947
2024-06-16 21:07:48.027 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-cslzg, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.0278802
2024-06-16 21:07:48.100 Event: Pod Created, Pod: hello-5-instances-00001-deployment-659755d7cd-phlj5, Namespace: default, Node: None, Timestamp: 1718572068.1004329
2024-06-16 21:07:48.111 Event: Pod Created, Pod: hello-5-instances-00001-deployment-659755d7cd-l9rz8, Namespace: default, Node: None, Timestamp: 1718572068.111672
2024-06-16 21:07:48.113 Event: Pod Created, Pod: hello-5-instances-00001-deployment-659755d7cd-296rr, Namespace: default, Node: None, Timestamp: 1718572068.113955
2024-06-16 21:07:48.116 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-phlj5, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1160767
2024-06-16 21:07:48.119 Event: Pod Created, Pod: hello-5-instances-00001-deployment-659755d7cd-csm48, Namespace: default, Node: None, Timestamp: 1718572068.119787
2024-06-16 21:07:48.126 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-l9rz8, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1262195
2024-06-16 21:07:48.133 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-phlj5, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1331136
2024-06-16 21:07:48.146 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-l9rz8, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1466055
2024-06-16 21:07:48.148 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-296rr, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1487327
2024-06-16 21:07:48.171 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-296rr, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1712089
2024-06-16 21:07:48.176 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-csm48, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1764426
2024-06-16 21:07:48.188 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-csm48, Namespace: default, Node: minikube-m02, Timestamp: 1718572068.1883383
2024-06-16 21:07:49.180 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-phlj5, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.1804676
2024-06-16 21:07:49.194 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-cslzg, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.1940057
2024-06-16 21:07:49.211 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-phlj5, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.211487
2024-06-16 21:07:49.226 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-csm48, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.2261176
2024-06-16 21:07:49.243 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-l9rz8, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.2437832
2024-06-16 21:07:49.258 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-659755d7cd-296rr, Namespace: default, Node: minikube-m02, Timestamp: 1718572069.2588859
