2024-06-15 11:30:43.715 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-f44m6, Namespace: default, Node: minikube-m03, Timestamp: 1718451043.7150989
2024-06-15 11:30:43.857 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: minikube-m04, Timestamp: 1718451043.857665
2024-06-15 11:30:43.872 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: minikube-m04, Timestamp: 1718451043.8722768
2024-06-15 11:30:44.246 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: minikube, Timestamp: 1718451044.2464778
2024-06-15 11:30:44.261 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: minikube, Timestamp: 1718451044.261511
2024-06-15 11:30:44.276 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-45gnq, Namespace: default, Node: minikube-m02, Timestamp: 1718451044.276399
2024-06-15 11:30:45.279 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-45gnq, Namespace: default, Node: minikube-m02, Timestamp: 1718451045.2795448
2024-06-15 11:30:49.722 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: minikube-m02, Timestamp: 1718451049.7223153
2024-06-15 11:30:49.725 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: minikube, Timestamp: 1718451049.7256613
2024-06-15 11:30:49.728 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: minikube-m04, Timestamp: 1718451049.7288282
