2024-06-15 18:25:16.974 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475916.9748526
2024-06-15 18:25:21.199 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: minikube-m03, Timestamp: 1718475921.199668
2024-06-15 18:25:21.203 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: minikube-m04, Timestamp: 1718475921.2032301
2024-06-15 18:25:21.206 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-ds57k, Namespace: default, Node: minikube-m04, Timestamp: 1718475921.2063375
2024-06-15 18:25:21.209 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475921.209622
2024-06-15 18:25:21.238 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: minikube-m02, Timestamp: 1718475921.2387815
2024-06-15 18:25:41.362 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: minikube-m02, Timestamp: 1718475941.3627653
2024-06-15 18:25:41.399 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-ds57k, Namespace: default, Node: minikube-m04, Timestamp: 1718475941.399488
2024-06-15 18:25:46.342 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: minikube-m04, Timestamp: 1718475946.342396
2024-06-15 18:25:46.385 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: minikube-m03, Timestamp: 1718475946.3857102
2024-06-15 18:25:46.419 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475946.4194689
2024-06-15 18:25:51.489 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: minikube-m04, Timestamp: 1718475951.48912
2024-06-15 18:25:51.573 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: minikube-m03, Timestamp: 1718475951.5738518
2024-06-15 18:25:51.584 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-ds57k, Namespace: default, Node: minikube-m04, Timestamp: 1718475951.5840564
2024-06-15 18:25:51.601 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475951.6018708
2024-06-15 18:25:51.637 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: minikube-m02, Timestamp: 1718475951.6371381
2024-06-15 18:25:51.926 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: minikube-m03, Timestamp: 1718475951.9267843
2024-06-15 18:25:51.937 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: minikube-m03, Timestamp: 1718475951.9377787
2024-06-15 18:25:52.088 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: minikube-m02, Timestamp: 1718475952.0886133
2024-06-15 18:25:52.099 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475952.0992966
2024-06-15 18:25:52.116 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-85wrj, Namespace: default, Node: minikube-m02, Timestamp: 1718475952.1168556
2024-06-15 18:25:52.137 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: minikube-m04, Timestamp: 1718475952.137559
2024-06-15 18:25:52.146 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: minikube-m04, Timestamp: 1718475952.146533
2024-06-15 18:25:52.155 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: minikube-m02, Timestamp: 1718475952.155619
2024-06-15 18:25:52.174 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-ds57k, Namespace: default, Node: minikube-m04, Timestamp: 1718475952.1739948
2024-06-15 18:25:52.185 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-58694bb45b-ds57k, Namespace: default, Node: minikube-m04, Timestamp: 1718475952.1853118
2024-06-15 18:25:57.445 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-wn9mn, Namespace: default, Node: None, Timestamp: 1718475957.4455824
2024-06-15 18:25:57.563 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fzxs7, Namespace: default, Node: None, Timestamp: 1718475957.5630279
2024-06-15 18:25:57.573 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-gprmx, Namespace: default, Node: None, Timestamp: 1718475957.5733721
2024-06-15 18:25:57.575 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-922tc, Namespace: default, Node: None, Timestamp: 1718475957.5755246
2024-06-15 18:25:57.582 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fqsmd, Namespace: default, Node: None, Timestamp: 1718475957.5827305
2024-06-15 18:26:02.462 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-wn9mn, Namespace: default, Node: minikube-m03, Timestamp: 1718475962.4621572
2024-06-15 18:26:02.476 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-wn9mn, Namespace: default, Node: minikube-m03, Timestamp: 1718475962.47651
2024-06-15 18:26:04.020 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-wn9mn, Namespace: default, Node: minikube-m03, Timestamp: 1718475964.0201256
2024-06-15 18:26:04.034 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-wn9mn, Namespace: default, Node: minikube-m03, Timestamp: 1718475964.0343106
2024-06-15 18:26:07.480 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fzxs7, Namespace: default, Node: minikube-m04, Timestamp: 1718475967.4800253
2024-06-15 18:26:07.498 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fzxs7, Namespace: default, Node: minikube-m04, Timestamp: 1718475967.49843
2024-06-15 18:26:09.212 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fzxs7, Namespace: default, Node: minikube-m04, Timestamp: 1718475969.2120612
2024-06-15 18:26:09.227 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6cc6bb5f9b-fzxs7, Namespace: default, Node: minikube-m04, Timestamp: 1718475969.22736
