2024-06-16 23:04:49.497 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.4974973
2024-06-16 23:04:49.508 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.5085332
2024-06-16 23:04:49.662 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.662009
2024-06-16 23:04:49.686 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.6869524
2024-06-16 23:04:49.690 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.6901233
2024-06-16 23:04:49.696 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.696716
2024-06-16 23:04:49.707 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.7072642
2024-06-16 23:04:49.726 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.7266002
2024-06-16 23:04:49.737 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.7377956
2024-06-16 23:04:49.753 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.753885
2024-06-16 23:04:49.764 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.76433
